"Data generated on Thursday, March 30, 2023 at 5:48:12 PM EST"
Area/Partners of Destination,,,,,January - December
And Commodities Exported,,,,,Cumulative To Date Values in Thousands of dollars
,,,,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Jan - Jan 2022,Jan - Jan 2023,,
,Partner,,Product,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
"1","Burundi","1","Corn","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,166","0","0","0","0","0","0","604","0","133","4,565","286","1,612","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","US","BY","0115AT",
"2","Congo (Brazzaville)","1","Corn","0","0","0","0","158","0","0","111","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","182","0","0","0","0","0","99","309","202","0","175","0","0","0","0","670","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","US","CF","0115AT",
"3","Congo (Kinshasa)","1","Corn","76","0","1","15","1","1","0","0","0","0","556","0","0","0","9","0","8","848","0","150","85","122","0","117","0","0","0","0","0","0","0","0","0","0","162","0","0","0","0","1,173","433","889","0","0","0","0","0","0","0","0","896","0","0","0","0","0","0","0","","US","CG","0115AT",
"4","Central African Republic","1","Corn","0","0","9","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3,626","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","US","CT","0115AT",
"5","Gambia, The","1","Corn","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","27","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","","US","GA","0115AT",
"6","Madagascar","1","Corn","0","0","0","0","24","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","159","0","0","0","0","0","0","0","104","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","US","MA","0115AT",
"7","Niger","1","Corn","0","0","0","0","0","0","0","0","0","0","0","0","0","4","10","0","10","0","5","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","US","NG","0115AT",
"8","Rwanda","1","Corn","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","419","0","0","0","0","0","0","0","0","501","2,448","10,730","4,748","869","0","4,898","839","415","42","289","934","433","98","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","US","RW","0115AT",
"9","Sudan(*)","1","Corn","0","0","0","0","0","0","0","0","0","0","0","8","0","0","20","13","0","13","16","0","0","0","0","0","0","0","0","0","0","0","0","678","0","1,779","0","0","0","300","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","US","SU","0115AT",
"10","Syria","1","Corn","0","0","0","0","0","0","0","0","1,491","1,524","1,346","8,084","8,768","12,734","23,002","23,577","10,735","24,679","19,095","5,166","5,635","2,690","6,992","23,536","19,306","9,834","12,596","8,672","38,229","29,549","35,672","17,310","41,142","53,410","60,928","78,750","67,784","95,257","100,268","145,552","256,136","196,068","86,360","255,345","120,635","50","0","0","0","0","0","0","0","0","0","0","0","0","","US","SY","0115AT",
"11","Uganda","1","Corn","41","5","11","6","9","7","12","0","0","0","0","0","0","1,701","905","0","0","0","0","0","0","0","0","0","0","0","0","0","0","769","3,372","0","0","0","0","23","0","1,661","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","US","UG","0115AT",
"","Grand Total","","","117","5","21","20","207","25","12","111","1,491","1,524","1,902","8,091","8,768","14,439","23,947","23,590","10,753","25,960","19,116","5,317","5,732","2,818","6,992","23,653","19,306","10,016","13,097","13,286","48,959","35,066","39,914","18,087","46,348","56,231","62,209","79,199","68,234","102,755","101,037","148,434","257,239","196,956","89,986","255,449","120,635","50","0","0","0","0","896","0","0","5","0","0","0","0","",
"Notes:<br>
1. Data Source: U.S. Census Bureau Trade Data<br>
2. FAS Totals include all Agricultural commodities and FAS selected NONAG commodity items.<br>
3. (*) denotes a country that is a summarization of its component countries."
"4. Product Group : FAS"