Year,Burundi GDP Per Capita,Central African Republic GDP Per Capita,Syrian Arab Republic GDP Per Capita,Madagascar GDP Per Capita,"Congo, Dem. Rep. GDP Per Capita",Niger GDP Per Capita,"Gambia, The GDP Per Capita",Sudan GDP Per Capita,Rwanda GDP Per Capita,Uganda GDP Per Capita
1950,,,,,,,,,,
1951,,,,,,,,,,
1952,,,,,,,,,,
1953,,,,,,,,,,
1954,,,,,,,,,,
1955,,,,,,,,,,
1956,,,,,,,,,,
1957,,,,,,,,,,
1958,,,,,,,,,,
1959,,,,,,,,,,
1960,71.3602242458753,66.7700954854424,186.02428722675,132.670284022472,219.905826799928,128.530590757202,,116.370986938477,40.1191924109337,55.5293371220614
1961,72.0887821327769,71.9932040592957,198.93469605122,134.293094086573,196.943209677235,134.845576564352,,123.137145996094,40.0439354124229,56.3280587737707
1962,73.9420079947413,71.4390852566697,226.877837619611,138.362477718351,234.975860412729,143.283953004682,,130.278671264648,40.036849273123,55.6478064244711
1963,78.9482692944993,72.8398142841784,237.936395234912,138.459331004305,376.146484036002,153.372020197655,,129.066818237305,40.1089082198507,62.1040778954549
1964,85.9647246277142,78.3935198006264,257.454144715355,142.53619219604,169.843799368041,148.035350283046,,128.954086303711,39.8328228603645,68.7768189251864
1965,50.9904202202224,81.4282812680733,247.714365755592,144.203831805361,231.898320679457,166.12300907526,,130.622283935547,44.4360635734424,100.222939981333
1966,51.8086400759858,83.6116107901903,238.398373768076,151.650045994966,252.632168735168,168.315402287823,93.7192846655551,130.532180786133,36.157068396837,101.680004380491
1967,54.4503050875793,84.8432584572101,252.252422122305,156.805046939204,183.198578167346,154.993738206891,96.2529026242081,137.764266967773,44.9533092489254,103.013154172355
1968,54.647465679035,97.0848031202443,264.227758198961,164.526756976703,205.531296362967,145.138272301832,82.461336490435,140.089630126953,47.0233609411225,107.031304091162
1969,55.5437751186298,93.0187603102461,293.976420156738,163.773332089768,256.978162781283,137.765548544212,87.9306087757175,150.289306640625,49.9486714635381,116.828519612863
1970,69.3951089241432,91.4726609840187,281.697840508249,167.45500994864,242.047912712006,139.177162307026,98.9101012601644,166.420715332031,56.4371903365366,122.134161206869
1971,70.5855233745532,95.41894577153,320.812975135006,175.354896609094,270.109753514682,144.582815028049,102.382635440346,176.294158935547,55.524334219101,133.547661617965
1972,68.9553297399475,106.944891230989,356.901987529773,190.267133390316,290.207968754385,150.777871098356,105.541393937331,185.672241210938,59.5945182855124,137.025217589156
1973,85.214643786738,123.494896800925,368.296053817994,227.42638808119,360.12964735356,187.055461123892,130.19832433715,223.061096191406,68.2585395662764,152.745907640275
1974,94.3334626755974,125.663394741053,585.883804387459,255.942982693642,427.511705376113,197.463942042517,161.030239268723,277.131591796875,70.3220415755844,183.760800757004
1975,112.286107305887,165.793397190863,742.518767425912,295.69886372793,444.084055767518,196.40256998183,187.927607726259,325.166015625,126.637332871865,201.139186962938
1976,117.051878460375,194.600748198141,827.155984392153,274.266519602104,407.887410644411,193.94860721153,177.544759851852,390.460479736328,137.204337522209,203.175913579711
1977,139.413263732793,216.60449345323,857.145934357095,287.844970398922,508.91278974432,228.79112915687,211.822428879801,468.7568359375,156.096847616368,237.400802476535
1978,151.067991502609,258.068309678146,992.991461269061,316.287256816875,614.529604524039,305.380049360574,255.339423815325,397.399871826172,184.014180401599,190.541730444572
1979,189.125941172438,293.166711655522,1154.51384962985,398.464188363799,581.730372993699,352.300802500004,297.939858802815,450.130981445313,218.617354678399,164.394819325749
1980,213.253435366784,330.002877010017,1467.86019819471,581.328137432777,538.960527480262,406.358700946615,335.493189249693,429.02197265625,239.115330774896,93.6922285457737
1981,215.78760277902,284.637712554376,1820.8535364103,516.908192492504,456.621754138716,340.999638233634,294.495017519571,461.628112792969,258.557772619701,98.5950736525033
1982,220.157009924496,303.250798325829,1842.7145834643,505.224622657534,483.771977217642,307.354533003735,281.217454182655,369.158203125,248.94171845108,156.879815724033
1983,229.117725538647,263.989494159132,1898.52476076497,481.151403673092,379.474099033988,266.470329666389,268.296241241813,354.190216064453,252.532535074469,157.449155940399
1984,203.859829973679,252.74856993245,1885.01953059448,390.008172813006,262.977513851254,209.531811260631,215.008768123528,439.550262451172,262.090801358725,247.343092643831
1985,232.41182455329,338.748280038645,2011.57105704479,369.261185396484,233.604892927194,200.425444668372,263.710195700147,333.938842773438,273.766352837918,234.037251924394
1986,238.356916699581,434.375120279461,2334.20666257917,410.63600741299,255.172056280733,257.019906188914,208.830580425073,408.473358154297,299.287430231641,253.327372267753
1987,219.371300655575,459.165996692903,2884.29931317685,295.01826642592,234.21041317559,292.408723026457,238.795476878595,481.339324951172,320.292279564204,392.476952525391
1988,205.31791926308,476.020889459026,1421.7419061215,284.60042937439,262.556631816199,289.6701399077,277.542524101176,568.788940429688,344.478356265826,394.736136326923
1989,207.291950106508,452.966557890752,1546.40038999076,275.263201235697,259.056194001788,268.5494044229,284.195856984002,841.999145507813,336.744705721412,309.860977888676
1990,206.444928267383,512.85085640136,1926.38460729734,330.843525324529,259.805597176304,419.603876913687,304.707378633962,1301.81909179688,348.387821978821,244.754047016551
1991,208.656723378432,475.276161548933,2171.46363406446,265.793707607818,259.012234502366,380.536650027954,637.09403413915,1667.54528808594,255.367677271596,182.794460640661
1992,188.581166847581,471.940641127534,2516.44329507042,294.293461049064,214.628406414051,380.14907106956,633.681580215791,263.089080810547,264.982576420422,151.976546497897
1993,168.964075594911,413.959445983413,2722.90538937476,312.078933286749,270.490603255768,332.062191015717,646.269564007316,326.759429931641,249.410606658391,165.465035899964
1994,165.585934674604,267.00627466382,3238.39401956611,262.146113655765,140.209682385332,204.149585672116,619.042072594049,459.454345703125,111.937304240527,198.282051318712
1995,168.627167702793,340.399697681509,3553.74628132754,276.73681321884,130.37625611201,234.619616974616,632.768843253997,483.681915283203,227.4588428355,278.31661829359
1996,146.536182541744,299.619507309514,4184.29444035864,344.464961373624,130.816496457864,237.014976657289,663.167073390534,307.819793701172,205.842129549077,284.456803503525
1997,164.233445666936,271.143287564472,4397.53829985579,288.449371484717,135.888930484575,218.246134254011,610.197055535572,388.815704345703,241.505546522325,286.572744910157
1998,148.089553542574,272.101528596479,4542.94912522261,288.635928740885,135.477400218295,243.517539233512,619.593039488998,366.119354248047,251.349680904,292.169481253444
1999,130.753023919327,273.427927943248,4588.98256023075,271.942982247426,99.7572508320882,225.953526002284,583.404255988526,339.281585693359,269.140883935276,257.678577745517
2000,138.004617225366,243.877580064527,4941.85259705136,285.466456273773,392.626333784131,192.877719543037,544.622025851887,378.161163330078,254.942370752419,257.829605739453
2001,135.606475784646,242.57572445448,5187.20610747836,325.46030923443,148.447123509623,203.526486923185,464.638392151758,471.376586914063,238.997452600907,235.852974855859
2002,124.139297156796,253.410680288044,5276.0647125394,310.929703434722,168.944805273879,223.352401554762,379.862894664105,529.443542480469,234.682357755411,241.86893022857
2003,114.36700716216,283.675360848602,5433.6422739539,359.534375095342,167.981575409282,263.091243611514,310.957155570228,607.014221191406,249.434958260624,250.69059279441
2004,128.538422519456,309.190261549746,6241.05823212955,277.50783148847,187.856781029954,281.32537728347,596.628948746453,737.108520507813,270.179320913252,292.472662865966
2005,151.18853639299,317.877655628994,7221.64388308259,311.79313178585,211.572633235541,316.365625419541,618.960528260386,945.673400878906,324.866355005359,330.602857799971
2006,166.276237631689,340.414533389437,7914.77149445229,330.522664907494,247.541948861851,331.103783818521,615.974477038703,1179.91625976563,357.937834237632,346.768460996729
2007,170.70687366223,388.477786288876,8695.84446115791,427.836321624404,277.612079551534,384.718359952116,725.09324687688,1500.67309570313,427.192399744184,401.709184486129
2008,194.710640063606,446.228811380306,10155.9736670317,522.83063205187,317.889214639638,472.178470762123,857.856307095633,1585.55432128906,529.261198153044,473.302829802644
2009,204.544750108233,452.922258619964,10288.1490473974,455.407381445528,290.155686888202,458.421912654738,772.123803641988,1382.64135742188,564.68947486376,799.929632084631
2010,222.660589178565,459.776946522556,11304.644927596,459.375407998781,324.827711041281,471.612651749318,796.630520987496,1706.41564941406,593.802607489539,824.737678434546
2011,236.451353673737,515.209531914838,2971.2824338307,516.902539244045,376.374981122052,507.602523308191,705.477974263661,1982.8310546875,650.602628610861,837.09588312989
2012,238.205949387117,525.86754317732,1910.60452580833,504.173730134152,412.776268166757,525.047323992555,686.558285433815,1797.37976074219,705.759755829457,796.711135048199
2013,241.54767083565,352.226871986924,993.739883114507,526.688011750229,444.864360951453,548.157875478729,647.385300507399,1834.5458984375,704.056289881296,819.757880944623
2014,257.818551909332,394.856956966036,1071.23420366067,517.136176058996,472.266227045325,560.754509239933,561.649123155962,2075.98901367188,724.352174367351,897.509742423677
2015,289.359633280865,351.879753579186,857.497867522093,455.638039705577,482.0645483336,481.111299477459,611.671334233568,2226.42163085938,733.441121804147,864.18006234671
2016,242.065670543589,372.135465512503,664.341672265103,464.616153538796,456.027931170745,497.036133412676,640.676678884585,2614.30029296875,728.434489970531,753.684408569709
2017,243.135809436375,414.740286565386,862.319063807846,503.498058680237,451.089098377617,514.543312814178,632.001146190196,3188.75,756.547641107379,766.177605762572
2018,231.446476548394,435.932263645028,1104.39244843571,512.543984587107,546.212593877879,567.330806700397,683.324363124911,769.869140625,769.437310706602,793.128081123392
2019,216.972968085123,426.408762581226,1116.67924613649,512.279659659088,575.882790805511,550.963555536013,722.874793145171,748.010925292969,806.879981050775,823.138950454868
2020,216.826741341377,435.469251582856,533.3852317094,462.404223694817,524.666675441091,564.822001755189,704.029916035493,608.33251953125,774.689259444614,846.767201292225
2021,221.477676223363,461.137490166508,,500.511031950657,577.209215199828,590.629454795899,772.152395143237,751.821350097656,822.3479885942,883.892032311279
