Year,Burundi Rice Production in tons,Central African Republic Rice Production in tons,Syria Rice Production in tons,Madagascar Rice Production in tons,Democratic Republic of Congo Rice Production in tons,Niger Rice Production in tons,Gambia Rice Production in tons,Sudan Rice Production in tons,Rwanda Rice Production in tons,Uganda Rice Production in tons
1950,,,,,,,,,,
1951,,,,,,,,,,
1952,,,,,,,,,,
1953,,,,,,,,,,
1954,,,,,,,,,,
1955,,,,,,,,,,
1956,,,,,,,,,,
1957,,,,,,,,,,
1958,,,,,,,,,,
1959,,,,,,,,,,
1960,,,,,,,,,,
1961,3000.0,3000.0,500.0,1465000.0,70800.0,9550.0,29465.0,,,3200.0
1962,2750.0,3300.0,1091.0,1552000.0,74100.0,11196.0,30481.0,,,4000.0
1963,2680.0,4300.0,1138.0,1559000.0,60000.0,10050.0,30990.0,,,1650.0
1964,2880.0,6000.0,1200.0,1648080.0,55000.0,11790.0,36578.0,,4.0,2300.0
1965,2178.0,6500.0,2100.0,1589345.0,48880.0,11704.0,36883.0,,8.0,4750.0
1966,1967.0,6500.0,2130.0,1602800.0,90663.0,20500.0,36900.0,,10.0,6198.0
1967,1400.0,7600.0,2115.0,1706400.0,100423.0,32522.0,20321.0,,207.0,7824.0
1968,4600.0,9800.0,7612.0,1796500.0,186700.0,39033.0,37000.0,,662.0,2868.0
1969,3446.0,12320.0,2426.0,1844000.0,170000.0,38000.0,36578.0,,1144.0,4767.0
1970,5047.0,7000.0,1192.0,1945900.0,179800.0,37100.0,40642.0,,1360.0,11440.0
1971,4277.0,7080.0,445.0,1893000.0,183900.0,27300.0,40642.0,,1477.0,22000.0
1972,4785.0,6500.0,414.0,1923600.0,196200.0,31800.0,30000.0,,1638.0,15700.0
1973,4800.0,6050.0,20.0,1913300.0,199100.0,46309.0,25500.0,,2508.0,8700.0
1974,6186.0,12608.0,2397.0,2013445.0,201300.0,30176.0,26100.0,,2229.0,15000.0
1975,6738.0,11672.0,5218.0,1972100.0,207800.0,29320.0,27200.0,,2583.0,16000.0
1976,6700.0,12000.0,1147.0,2042500.0,212700.0,28700.0,18000.0,,2668.0,29000.0
1977,7500.0,18000.0,150.0,2067265.0,213700.0,26600.0,17200.0,,3265.0,21000.0
1978,6300.0,12565.0,100.0,1922000.0,213300.0,31600.0,28300.0,,3288.0,25700.0
1979,9000.0,12442.0,100.0,2044935.0,227400.0,23763.0,29400.0,,3494.0,15000.0
1980,10000.0,13005.0,90.0,2108910.0,234300.0,29900.0,42700.0,,4430.0,17000.0
1981,10000.0,15000.0,100.0,2011480.0,245400.0,38900.0,39500.0,,5757.0,15000.0
1982,9000.0,15000.0,100.0,1969905.0,250940.0,41200.0,33700.0,,5586.0,19000.0
1983,9000.0,12000.0,100.0,2147000.0,271317.0,44800.0,26100.0,,7153.0,22000.0
1984,18000.0,17000.0,100.0,2131100.0,286012.0,48700.0,27200.0,,7919.0,20000.0
1985,20000.0,12730.0,100.0,2177680.0,312000.0,56700.0,23100.0,,4000.0,19000.0
1986,21000.0,8982.0,100.0,2230205.0,315000.0,75300.0,24460.0,,8440.0,21000.0
1987,28000.0,11421.0,100.0,2178000.0,330000.0,60754.0,20430.0,,6116.0,20000.0
1988,35000.0,14103.0,100.0,2149000.0,350000.0,52900.0,29490.0,,6892.0,23000.0
1989,40000.0,14746.0,100.0,2380000.0,370000.0,76953.0,21230.0,,8100.0,45000.0
1990,40000.0,7821.0,117.0,2420000.0,392300.0,72260.0,21431.0,,9305.0,54000.0
1991,40200.0,7664.0,126.0,2342200.0,393900.0,74695.0,20528.0,,16400.0,61000.0
1992,40400.0,8000.0,141.0,2450000.0,403300.0,47600.0,19413.0,,16100.0,68000.0
1993,40200.0,7800.0,152.0,2550000.0,429810.0,78700.0,12056.0,,13200.0,74000.0
1994,38228.0,8034.0,173.0,2357000.0,426170.0,62000.0,20267.0,,4500.0,77000.0
1995,26819.0,10000.0,175.0,2450000.0,365818.0,51000.0,18952.0,,2300.0,77000.0
1996,41810.0,15000.0,100.0,2500000.0,347947.0,51200.0,18185.0,,6596.0,82000.0
1997,65102.0,17000.0,,2558000.0,322099.0,83200.0,13000.0,,9805.0,80000.0
1998,41000.0,18500.0,,2447000.0,362657.0,58200.0,18800.0,,7935.0,90000.0
1999,58630.0,21000.0,,2570000.0,350000.0,61989.0,31700.0,,8919.0,95000.0
2000,51678.0,23100.0,,2480470.0,337800.0,60453.0,34100.0,,11654.0,109000.0
2001,60920.0,25300.0,,2662465.0,326025.0,76400.0,32600.0,,15610.0,114000.0
2002,62648.0,27400.0,,2603965.0,314430.0,75467.0,20452.0,,20976.0,120000.0
2003,61256.0,29700.0,,2800000.0,314780.0,58080.0,20500.0,,27891.0,132000.0
2004,64532.0,31900.0,,3030000.0,315130.0,72367.0,32600.0,,46191.0,121000.0
2005,67947.0,46200.0,,3392459.0,315480.0,56221.0,17934.0,,62194.0,153000.0
2006,68311.0,40000.0,,3487930.0,315830.0,60360.0,31024.0,,62932.0,154000.0
2007,70911.0,37595.0,,3595755.0,316180.0,60158.0,11395.0,,62000.0,162000.0
2008,70846.0,37971.0,,3914175.0,316530.0,61025.0,38300.0,,82000.0,177857.0
2009,78432.0,39110.0,,4540435.0,316880.0,79207.0,79000.0,,81081.0,205765.0
2010,83019.0,39000.0,,4737965.0,754872.0,102820.0,99890.0,,67253.0,218111.0
2011,91415.0,40000.0,,4300185.0,709417.0,74133.0,51136.0,,80541.0,233000.0
2012,64620.0,42000.0,,4550649.0,645184.0,71289.0,54219.0,24000.0,84079.0,212000.0
2013,41454.0,10000.0,,3610626.0,811218.0,87106.0,69704.0,25000.0,93746.0,214000.0
2014,67377.0,12822.0,,3977863.0,1019979.0,103941.0,46674.0,16900.0,72723.0,237008.0
2015,38674.0,10180.0,,3722304.0,1021815.0,90831.0,70000.0,32000.0,97435.0,238193.0
2016,146633.0,11608.0,,3815849.0,1103773.0,104392.0,49000.0,28000.0,110544.0,214910.0
2017,88298.0,12000.0,,3600500.0,1213006.0,112632.0,30000.0,32000.0,108958.0,188674.0
2018,89296.0,12000.0,,4030000.0,1286872.0,101607.0,26000.0,30000.0,113880.0,199266.0
2019,241211.0,10211.0,,4231145.0,1378846.0,121760.0,22000.0,32000.0,131577.0,255000.0
2020,150000.0,6095.0,,4232000.0,1379000.0,179382.0,28000.0,34133.0,116504.0,200000.0
2021,,,,,,,,,,
